version,section,function,length,matching
us,asm,func_global_asm_8060E4D0,164,yes
us,asm,func_global_asm_80700088,548,no
us,asm,func_global_asm_806588E0,80,yes
us,asm,func_global_asm_806506E8,172,yes
us,asm,func_global_asm_80653FA4,988,no
us,asm,func_global_asm_806E527C,84,yes
us,asm,func_global_asm_80681BD8,576,yes
us,asm,func_global_asm_8060E430,120,yes
us,asm,func_global_asm_8066E5CC,44,yes
us,asm,func_global_asm_80717930,564,yes
us,asm,func_global_asm_80601120,76,yes
us,asm,func_global_asm_8067443C,108,no
us,asm,func_global_asm_806C81DC,68,yes
us,asm,func_global_asm_806E6E7C,100,yes
us,asm,func_global_asm_806B3E08,116,yes
us,asm,func_global_asm_8073202C,56,no
us,asm,func_global_asm_806D3A38,144,yes
us,asm,func_global_asm_8066641C,12,yes
us,asm,func_global_asm_806A60BC,40,yes
us,asm,func_global_asm_806C7D40,932,no
us,asm,func_global_asm_80644EC8,504,yes
us,asm,func_global_asm_80603340,272,yes
us,asm,func_global_asm_806E8724,296,yes
us,asm,func_global_asm_806FF01C,296,yes
us,asm,func_global_asm_8060E8EC,68,yes
us,asm,func_global_asm_8063B8D8,728,no
us,asm,func_global_asm_8070F2C8,52,yes
us,asm,func_global_asm_8067E4D4,60,yes
us,asm,func_global_asm_807122B4,476,yes
us,asm,func_global_asm_806D6558,1100,yes
us,asm,func_global_asm_806A2B20,24,yes
us,asm,func_global_asm_80740A90,448,no
us,asm,func_global_asm_806D239C,268,yes
us,asm,func_global_asm_806DCF60,748,no
us,asm,func_global_asm_806364C4,268,yes
us,asm,func_global_asm_806B1F28,32,yes
us,asm,func_global_asm_8067AF44,48,yes
us,asm,func_global_asm_806EAAA0,164,yes
us,asm,func_global_asm_8067618C,68,yes
us,asm,func_global_asm_80735864,244,no
us,asm,func_global_asm_806679BC,2916,no
us,asm,func_global_asm_8071F2F8,200,yes
us,asm,func_global_asm_80710174,312,yes
us,asm,func_global_asm_806A6230,132,yes
us,asm,func_global_asm_8065919C,280,no
us,asm,func_global_asm_80661484,76,yes
us,asm,func_global_asm_80650C98,108,yes
us,asm,func_global_asm_806116E0,68,yes
us,asm,func_global_asm_806C27DC,220,yes
us,asm,func_global_asm_806AC048,52,yes
us,asm,func_global_asm_8063FA48,7388,no
us,asm,func_global_asm_8063D494,16,yes
us,asm,func_global_asm_8066FC0C,352,no
us,asm,func_global_asm_8070D9AC,124,yes
us,asm,func_global_asm_8072D714,648,no
us,asm,func_global_asm_806A285C,428,yes
us,asm,func_global_asm_806CC920,40,yes
us,asm,func_global_asm_806E3E40,884,no
us,asm,func_global_asm_80688C84,64,yes
us,asm,func_global_asm_8064BE80,216,no
us,asm,func_global_asm_806B11C0,208,yes
us,asm,func_global_asm_80636784,364,no
us,asm,func_global_asm_807327F4,160,yes
us,asm,func_global_asm_806C7220,8,yes
us,asm,func_global_asm_80728300,1308,no
